TypovÈ oznaËenÌ;Artikl;V˝robce;N·zev;»Ìslo dÌlu v˝robce;V˝bÏhov˝ dÌl;status
FA-3051649;3000619;SCHALTAG;LLSEVO II PR Lextar TW FA-3051649;;;H
FA-3051649;3000620;SCHALTAG;LLSEVO II CR Lextar TW FA-3051649;;;H
FA-3051649;3000621;SCHALTAG;LLSEVO II DPR Lextar TW FA-3051649;;;H
FA-3051649;3000622;SCHALTAG;LLSEVO II DPL Lextar TW FA-3051649;;;H
FA-3051649;3000623;SCHALTAG;LLSEVO II DPG Lextar TW FA-3051649;;;H
FA-3051649;3000624;SCHALTAG;LLSEVO II DPW Lextar TW FA-3051649;;;H
BPC (KLEIN);3000625;SCHALTAG;Montage Steuerung BPC (klein);;;H
SNV (GROSS);3000626;SCHALTAG;Montage Steuerung SNV (gross);;;H
;3000628;SCHALTAG;Reparatur Programming Adapter;;;H
VK L 180830;3000629;SCHALTAG;Schaltschrank VK L 180830;;;H
P-504065 GALLAY;3000630;SCHALTAG;Schaltschrank P-504065 - 2010340 PCD2;;;H
P-504065 GALLAY;3000631;SCHALTAG;Schaltschrank P-504065 - 2010340 ELD-V;;;H
RETOFIT R3;3000632;SCHALTAG;Steuerschrank Ewamatic Line Retrofit R3;;;H
252132;3000633;SCHALTAG;Rozvadec Willy dle schematu 252132;;;H
252220;3000634;SCHALTAG;Rozvadec Willy dle schematu 252220;;;H
FA-3051992;3000635;SCHALTAG;Upgrade rotation control BD124 FA3051992;;;H
FA-3051351;3000636;SCHALTAG;Rotation control BD124 237429 FA-3051351;;;H
FA-3051456;3000637;SCHALTAG;Rotation control BD124 237431 FA-3051456;;;H
FA-3051457;3000638;SCHALTAG;Rotation control BD124 237432 FA-3051457;;;H
237068;3000639;SCHALTAG;Gitterbahn Lanz 40x75, A4 L=966 237068;;;H
;3000640;;Rozvadec Willy dle schematu 252213;;;U
KR591090_A;3000641;SCHALTAG;Schaltschrank Fˆrderband KB7020 KR606353;;;H
KOMM. 40069510;3000642;SCHALTAG;Ecoline SEL601.B          Komm. 40069134;;;H
WOW ATLAS 3000 UITIKON 005;3000643;SCHALTAG;WOW ATLAS 3000 UITIKON               005;;;H
252111;3000644;SCHALTAG;Umbau Schaltschrank 235012 auf 252111;;;H
V302472 / A;3000645;SCHALTAG;Switch kpl. V302472 / A     Evatec;;;H
;3000646;SCHALTAG;Ecoline SEL601.B          Komm. 40067298;;;H
P-504076;3000647;SCHALTAG;Electr. Cabinet LST-V P-504076 - 2010465;;;H
P-504076;3000648;SCHALTAG;Electr. Cabinet ELD-V P-504076 - 2010465;;;H
TRIX;3000649;SCHALTAG;Electrical Cabinet TRIX, UL;;;H
P-5040XX - 20XXXXX PROJEKT MERCK;3000650;SCHALTAG;Cabinet SS -A040 PST-H UL P-5040xx;;;H
P-5040XX - 20XXXXX PROJEKT MERCK;3000651;SCHALTAG;Cabinet KR -A050 PST-H UL P-5040xx;;;H
P-5040XX - 20XXXXX PROJEKT MERCK;3000652;SCHALTAG;Cabinet SS1-A030 PST-H UL P-5040xx;;;H
P-5040XX - 20XXXXX PROJEKT MERCK;3000653;SCHALTAG;Cabinet SS -A040 PST-H UL P-5040xx;;;H
P-5040XX - 20XXXXX PROJEKT MERCK;3000654;SCHALTAG;Cabinet KR -A050 PST-H UL P-5040xx;;;H
P-5040XX - 20XXXXX PROJEKT MERCK;3000655;SCHALTAG;Cabinet SS1-A030 PST-H UL P-5040xx;;;H
FA-3051655;3000656;SCHALTAG;LLSEVO II PR+CR Labor SEMI CH FA-3051655;;;H
FA-3051655;3000657;SCHALTAG;LLSEVO II PR Labor SEMI CH FA-3051655;;;H
FA-3051655;3000658;SCHALTAG;LLSEVO II CR Labor SEMI CH FA-3051655;;;H
FA-3051655;3000659;SCHALTAG;LLSEVO II DPR Labor SEMI CH FA-3051655;;;H
FA-3051655;3000660;SCHALTAG;LLSEVO II DPL Labor SEMI CH FA-3051655;;;H
FA-3051655;3000661;SCHALTAG;LLSEVO II DPG Labor SEMI CH FA-3051655;;;H
FA-3051655;3000662;SCHALTAG;LLSEVO II DPW Labor SEMI CH FA-3051655;;;H
;3000664;SCHALTAG;Ecoline SEL601.B          Komm. 40067298;;;H
238019 / FA-3052302;3000665;SCHALTAG;E-RET Rotary Drive Motor FA-3052302;;;H
KC7070;3000666;SCHALTAG;Steuerung KC7070 f¸r KD7075A Basic;;;H
11168862;3000667;SCHALTAG;Elektrokomponente X1  11168862  Rieter;;;H
11160260;3000668;SCHALTAG;Elektrokomponente X2  11160260  Rieter;;;H
11169051;3000669;SCHALTAG;Elektrokomponente X20 RSM 11169051 Riete;;;H
11158826;3000670;SCHALTAG;Halterung Umbau old sys  11158826 Rieter;;;H
228417;3000672;SCHALTAG;Switch kpl. FA-3052591  228417  Evatec;;;H
KOMM. 40072481;3000677;SCHALTAG AG;Absetztisch breiter Kasten Komm.40069137;;;H
LIMECO PW LƒNGGENBACH;3000678;SCHALTAG;Verdrahtung Schaltschrank Limeco AKSA;;;H
ZU PROJEKT FERRYBRIDGE;3000679;SCHALTAG;"Set ""rote Lampe mit Kragen"" inkl. Gravur";;;H
GERMANN + FREI AG;3000681;SCHALTAG;Schaltschrank 65kVA DFM 600-007 23kW;;;H
GERMANN + FREI AG;3000682;SCHALTAG;Bedien- und Verteilkasten zu  DFM 600;;;H
KOMM. 40070176;3000684;SCHALTAG;Kalibrierer ZKWV600*E     Komm. 40070176;;;H
KOMM. 40070176;3000685;SCHALTAG;Ecoline SEL601.B          Komm. 40070176;;;H
238790;3000690;SCHALTAG;E-RSM,SPM inkl Kabel  FA-3052315  Evatec;;;H
FA-3037299;3000691;SCHALTAG;Nacharbeit T¸ren Q-Meldung 4343  Evatec;;;H
;3000692;;Rozvadec Willy dle schematu 252213;;;H
;3000693;;Rozvadec Willy dle schematu 252213;;;U
;3000695;SCHALTAG;Schaltschrank UL PRO-19-0158 575VAC;;;H
239173;3000696;SCHALTAG;Rotationssensor ABD FA-3051778 Evatec;;;H
232353;3000697;SCHALTAG;Rozvadec Willy dle schematu 232353;;;H
XFT2553;3000698;SCHALTAG;RozvadÏË XFT2553;;;H
;3000699;SCHALTAG;Trafoschrank   Agile Wind Power;;;H
KOMM. 40070734;3000700;SCHALTAG;Polyline PMML112          Komm. 40069007;;;H
;3000701;SCHALTAG;Kabel 2x50mm2   Agile Wind Power;;;H
KOMM. 40070775;3000703;SCHALTAG;Ecoline SEL401.B          Komm. 40070775;;;H
FA-3051769;3000704;SCHALTAG;LLSEVO II PR+CR Yangzhou CN   FA-3051769;;;H
FA-3051769;3000705;SCHALTAG;LLSEVO II PR Yangzhou CN      FA-3051769;;;H
FA-3051769;3000706;SCHALTAG;LLSEVO II CR Yangzhou CN      FA-3051769;;;H
FA-3051769;3000707;SCHALTAG;LLSEVO II DPR Yangzhou CN     FA-3051769;;;H
FA-3051769;3000708;SCHALTAG;LLSEVO II DPL Yangzhou CN     FA-3051769;;;H
FA-3051769;3000709;SCHALTAG;LLSEVO II DPG Yangzhou CN     FA-3051769;;;H
FA-3051769;3000710;SCHALTAG;LLSEVO II DPW Yangzhou CN     FA-3051769;;;H
;3000711;SCHALTAG;Ersatzteil-Set Russland    RCS-SS;;;H
;3000713;SCHALTAG;Polyline PMML111          Komm. 40068683;;;H
TRIX 2;3000714;SCHALTAG;Electrical Cabinet TRIX 2, UL;;;H
;3000717;SCHALTAG;Rozvadec Willy dle schematu 253951;;;H
252528;3000760;SCHALTAG;Rozvadec Willy dle schematu 252528;;;H
KOMM. 40071433;3000764;SCHALTAG;Ecoline SEL601.B          Komm. 40071433;;;H
KOMM. 40071470;3000765;SCHALTAG;Ecoline SEL601.B          Komm. 40071470;;;H
300186;3000766;SCHALTAG;E-RET upgrade Pivotshaper  300186 Evatec;;;H
STEUERKASTEN NOTAEROSOLMESSUNG;3000775;SCHALTAG;Sch¸tzensteuerung SGK BKW KKW M¸hlenberg;;;H
KOMM. 1405 / 10;3000776;SCHALTAG;Kalibrierer AC ZKWV.E    Komm. 1405 / 10;;;H
;3000781;SCHALTAG;Ecoline SEL601.B          Komm. 40067298;;;H
P-504079 / 2010538;3000783;SCHALTAG;Buskasten KR  PST-H  P-504079  2010538;;;H
P-504079 / 2010538;3000784;SCHALTAG;Schaltschrank SS PST-H  P-504079 2010538;;;H
224007 / B;3000786;SCHALTAG;Gitterbahn Lanz 100x60, A4 L=754  224007;;;H
252389;3000787;SCHALTAG;Rozvadec Willy dle schematu 252389;;;H
252764;3000788;SCHALTAG;Rozvadec Willy dle schematu 252764;;;H
;3000791;SCHALTAG;Ovl·dacÌ sk¯ÌÚka GS LLx iB;;;H
;3000792;SCHALTAG;RozöÌ¯enÌ SS iB / LLP;;;H
;3000795;SCHALTAG;RozöÌ¯enÌ SS iB / LLU;;;H
KD7070A LINKS;3000796;SCHALTAG;Steuerung KD7015A Standard Unit   Kr‰mer;;;H
;3000797;SCHALTAG;Polyline PMML111     Komm. 20000013 / 10;;;H
;3000799;SCHALTAG;Hutschiene, Al, 35x15mm L=150 mm;;;H
SCHALTPLAN 252848;3000800;SCHALTAG;Rozvadec Willy dle schematu 252848;;;H
SCHALTPLAN 252749;3000801;SCHALTAG;Rozvadec Willy dle schematu 252749;;;H
;3000803;SCHALTAG;Ecoline SEL601.B          Komm. 40067298;;;H
;3000805;SCHALTAG;Schaltschrank Umbau H2-Pr¸fstand;;;H
;3000806;SCHALTAG;Aufbau und Verdrahtung fleXmill Nr. 8;;;H
;3000810;SCHALTAG;Grundplatte Red APG Schrank ohne Verdr.;;;H
;3000820;SCHALTAG;Schaltschrank LST-V 6-6-9 VS1;;;H
P-504111 SANDOZ;3000821;SCHALTAG;Cabinet SS  PST-H  P-504111 1042427;;;H
P-504111 SANDOZ;3000822;SCHALTAG;Buskasten KR  PST-H  P-504111  1042428;;;H
;3000823;SCHALTAG;Elektrik Scrubber Box;;;H
;3000824;SCHALTAG;Umbau Autofrettage B-Stand;;;H
;3000825;SCHALTAG;LNS-Tryton CNC dS R/V PCD3    112.L12.69;;;H
SINTERWERKE;3000829;SCHALTAG;Carrier 2. Phase Grenchen;;;H
301138 / E;3000841;SCHALTAG;E-RET CLN300 300E  301138/E Evatec;;;H
SCHALTPLAN 252750;3000842;SCHALTAG;Rozvadec Willy dle schematu 252750;;;H
SCHALTPLAN 252643;3000843;SCHALTAG;Rozvadec Willy dle schematu 252643;;;H
;3000851;SCHALTAG;Polyline PMML112          Komm. 40067381;;;H
;3000852;SCHALTAG;Polyline PMML113 Basis    Komm. 40065977;;;H
SCHALTPLAN 252667;3000854;SCHALTAG;Rozvadec Willy dle schematu 252667;;;H
FA-3056664;3000855;SCHALTAG;E-RET BAK SAW Finisar US  FA-3056664 Eva;;;H
FA-3056666;3000856;SCHALTAG;E-RET BAK SAW Finisar US  FA-3056666 Eva;;;H
127406;3000857;SCHALTAG;EROWA Cabinet ERM 4000SN Basis;;;H
127405;3000858;SCHALTAG;EROWA Cabinet ERM 4000SN Basis with M2;;;H
FA-3056764;3000859;SCHALTAG;E-RET Sanan IC - KDC75  FA-3056764  Evat;;;H
KOMM. 1411 / 20;3000860;SCHALTAG;Ecoline SEL401.B         Komm. 1411 / 20;;;H
KOMM. 1356 / 120;3000861;SCHALTAG;Kalibrierer AC ZKWV.A   Komm. 1356 / 120;;;H
KOMM. 1405 / 50;3000862;SCHALTAG;Polyline PMML111         Komm. 1405 / 50;;;H
KOMM. 1359 / 70;3000863;SCHALTAG;Starline PMML211         Komm. 1359 / 70;;;H
KOMM. 1405 / 10;3000864;SCHALTAG;Kalibrierer AC ZKWV.E    Komm. 1405 / 10;;;H
KOMM. 1405 / 10;3000865;SCHALTAG;D¸nnteiganlage           Komm. 1405 / 10;;;H
;3000866;SCHALTAG;Kalibrierer AC ZKWV.E    Komm. 1455/15;;;H
KOMM. 7551 / 10;3000867;SCHALTAG;D¸nnteiganlage    Komm. 7551 / 10;;;H
SCHALTPLAN 252854;3000869;SCHALTAG;Rozvadec Willy dle schematu 252667;;;H
;3000870;SCHALTAG;Polyline PMML112          Komm. 40067381;;;H
;3000875;SCHALTAG;Polyline PMML111         Komm. 1405 / 50;;;H
P-504154, HARDY DIAGNOSTICS;3000876;SCHALTAG;Cabinet SS PST-H  P-504154 2011667;;;H
P-504154, HARDY DIAGNOSTICS;3000877;SCHALTAG;Buskasten KR PST-H  P-504154 2011667;;;H
FA-3057794;3000880;SCHALTAG;E-RET BAK 901 RF360 301300        Evatec;;;H
FA-3055214;3000881;SCHALTAG;E-Umbaukit Gasverteiler US-free   301228;;;H
SCHALTPLAN 253024;3000882;SCHALTAG;Rozvadec Willy dle schematu 253024;;;H
SCHALTPLAN 252742;3000883;SCHALTAG;Rozvadec Willy dle schematu 252742;;;H
SCHALTPLAN 253070;3000884;SCHALTAG;Rozvadec Willy dle schematu 253070;;;H
;3000886;SCHALTAG;GDA Aggregat Material Kit ohne Kabel;;;H
;3000887;SCHALTAG;Pr¸fung Schaltschrank  Weibel & Partner;;;H
